Folder Mode ResultCount CacheHits Time1 Time2 Time3 TimeAvg
147      076      31071        30743      0m53.600s  0m51.611s  0m49.622s  0m51.611s
150      078      5            0          0m6.560s   0m6.575s   0m4.763s   0m5.966s
151      078      5            0          0m4.538s   0m4.526s   0m4.387s   0m4.484s
152      079      34           0          0m0.705s   0m0.492s   0m0.764s   0m0.654s
153      079      34           4          0m0.498s   0m0.454s   0m0.482s   0m0.478s
154      080      55           0          0m0.496s   0m0.456s   0m0.999s   0m0.650s
155      080      55           16         0m0.456s   0m0.471s   0m0.600s   0m0.509s
156      082      25           0          0m13.755s  0m6.376s   0m7.681s   0m9.271s
157      082      34           13         0m9.579s   0m6.436s   0m8.578s   0m8.198s
158      083      2            0          0m0.495s   0m0.371s   0m0.390s   0m0.419s
159      083      2            0          0m0.412s   0m0.381s   0m0.452s   0m0.415s
160      084      31           0          0m0.557s   0m0.388s   0m0.444s   0m0.463s
161      084      31           0          0m0.472s   0m0.466s   0m0.427s   0m0.455s
162      085      4            0          1m29.438s  1m28.269s  1m49.632s  1m35.780s
163      085      4            0          1m43.065s  1m47.518s  1m46.572s  1m45.718s
164      086      161          0          0m0.840s   0m0.797s   0m0.695s   0m0.777s
165      086      1229         1227       0m0.615s   0m0.580s   0m0.605s   0m0.600s
166      087      59           0          0m0.510s   0m0.475s   0m0.501s   0m0.495s
167      087      114          78         0m0.468s   0m0.459s   0m0.484s   0m0.470s
168      088      11           0          0m0.472s   0m0.322s   0m0.474s   0m0.423s
169      088      11           0          0m0.363s   0m0.369s   0m0.396s   0m0.376s
170      089      308          0          0m1.556s   0m1.085s   0m0.730s   0m1.124s
171      089      2716         2714       0m0.703s   0m0.698s   0m0.681s   0m0.694s
172      090      7520         0          9m18.741s  7m48.490s  5m18.205s  7m28.479s
173      090      3547694      3547692    5m8.983s   5m6.034s   5m2.743s   5m5.920s
174      091      154          0          0m0.791s   0m0.832s   0m0.575s   0m0.733s
175      091      1117         1115       0m0.498s   0m0.483s   0m0.670s   0m0.550s
176      092      8274         0          11m12.780s 9m15.518s  7m1.481s   9m9.926s
177      092      4293582      4293580    6m51.048s  7m2.204s   6m55.435s  6m56.229s
182      095      152          0          0m0.751s   0m0.777s   0m0.641s   0m0.723s
183      095      1094         1092       0m0.770s   0m0.635s   0m0.544s   0m0.650s
184      096      368          0          0m1.234s   0m0.942s   0m0.762s   0m0.979s
185      096      3382         3380       0m1.349s   0m0.800s   0m0.778s   0m0.976s
186      097      2            0          0m0.368s   0m0.312s   0m0.380s   0m0.353s
187      097      2            0          0m0.355s   0m0.347s   0m0.372s   0m0.358s
188      098      7            0          0m12.110s  0m11.269s  0m17.129s  0m13.503s
189      098      7            0          0m14.802s  0m15.856s  0m15.684s  0m15.447s
190      099      203          0          0m0.745s   0m0.662s   0m0.567s   0m0.658s
191      099      1580         1578       0m0.573s   0m0.552s   0m0.634s   0m0.586s
192      100      160          0          0m0.664s   0m0.811s   0m0.674s   0m0.716s
193      100      1157         1155       0m0.524s   0m0.555s   0m0.512s   0m0.530s
194      101      215          0          0m0.874s   0m0.765s   0m0.596s   0m0.745s
195      101      1681         1679       0m0.516s   0m0.608s   0m0.617s   0m0.580s
196      102      1246         0          0m4.092s   0m4.489s   0m4.263s   0m4.281s
197      102      4338         3852       0m4.272s   0m4.409s   0m3.978s   0m4.220s
198      103      6            0          0m0.458s   0m0.396s   0m0.424s   0m0.426s
199      103      6            0          0m0.381s   0m0.421s   0m0.426s   0m0.409s
200      104      6            0          0m0.446s   0m0.372s   0m0.394s   0m0.404s
201      104      10           6          0m0.370s   0m0.313s   0m0.379s   0m0.354s
202      105      70           0          0m0.730s   0m0.520s   0m0.453s   0m0.568s
203      105      428          426        0m0.382s   0m0.481s   0m0.482s   0m0.448s
204      106      2            0          0m0.357s   0m0.312s   0m0.338s   0m0.336s
205      106      2            0          0m0.399s   0m0.370s   0m0.426s   0m0.398s
206      107      6678         0          58m59.942s 59m6.425s  56m14.969s 58m7.112s
207      107      6680         4          49m28.443s 55m24.591s 55m11.583s 53m21.539s
208      108      371          0          0m1.110s   0m1.259s   0m0.786s   0m1.052s
209      108      3390         3388       0m0.712s   0m0.852s   0m0.738s   0m0.767s
210      109      33           0          0m0.455s   0m0.512s   0m0.494s   0m0.487s
211      109      137          122        0m0.446s   0m0.420s   0m0.425s   0m0.430s
212      110      1283         0          5m37.535s  5m32.688s  6m34.065s  5m54.763s
213      110      1285         4          6m30.415s  6m22.526s  6m21.801s  6m24.914s
214      111      12           0          0m0.398s   0m0.449s   0m0.397s   0m0.415s
215      111      12           0          0m0.386s   0m0.479s   0m0.409s   0m0.425s
216      112      19           0          0m0.433s   0m0.439s   0m0.472s   0m0.448s
217      112      19           2          0m0.394s   0m0.537s   0m0.486s   0m0.472s
218      113      181          0          0m0.679s   0m0.670s   0m0.620s   0m0.656s
219      113      1359         1357       0m0.605s   0m0.651s   0m0.516s   0m0.591s
220      114      18           0          0m0.408s   0m0.441s   0m0.390s   0m0.413s
221      114      90           86         0m0.369s   0m0.475s   0m0.414s   0m0.419s
222      115      5            0          0m6.673s   0m6.748s   0m4.479s   0m5.967s
223      115      5            0          0m4.357s   0m5.007s   0m4.713s   0m4.692s
224      116      28           0          0m2.513s   0m2.515s   0m2.793s   0m2.607s
