    Folder       Mode  Result Count  Cache Hits   Real Time
502    268    NoCache            48           0    0m1.767s
503    268  NormCache            48           0    0m1.953s
504    269    NoCache             2           0    0m0.375s
505    269  NormCache             2           0    0m0.426s
506    270    NoCache          1140           0    0m2.602s
507    270  NormCache          1140           0    0m2.916s
508    271    NoCache             5           0    0m6.673s
509    271  NormCache             5           0    0m4.479s
510    272    NoCache             5           0    0m6.697s
511    272  NormCache             5           0    0m4.703s
512    273    NoCache             4           0    0m0.307s
513    273  NormCache             4           0    0m0.456s
514    274    NoCache           161           0    0m0.692s
515    274  NormCache           161           0    0m0.899s
516    275    NoCache           177           0    0m0.605s
517    275  NormCache           177           0    0m0.824s
518    276    NoCache           898           0    0m2.162s
519    276  NormCache           898           0    0m2.333s
520    277    NoCache             2           0    0m2.211s
521    277  NormCache             2           0    0m1.192s
522    279    NoCache            14           0    0m0.460s
523    279  NormCache            14           0    0m0.651s
524    280    NoCache           234           0    0m0.895s
525    280  NormCache           234           0    0m0.900s
526    281    NoCache           162           0    0m0.791s
527    281  NormCache           162           0    0m1.628s
528    282    NoCache            89           0    0m0.511s
529    282  NormCache            89           0    0m0.699s
530    284    NoCache            27           0    0m0.415s
531    284  NormCache            27           0    0m0.518s
532    286    NoCache             6           0    0m0.439s
533    286  NormCache             6           0    0m0.448s
534    287    NoCache           100           0    0m0.701s
535    287  NormCache           100           0    0m0.711s
536    289    NoCache            21           0    0m6.857s
537    289  NormCache            21           0   0m15.011s
538    290    NoCache            94           0   0m11.560s
539    290  NormCache            94           0   0m14.587s
540    291    NoCache             2           0    0m0.402s
541    291  NormCache             2           0    0m0.347s
542    292    NoCache            28           0    0m0.426s
543    292  NormCache            28           0    0m0.548s
544    293    NoCache          9830           0  20m27.799s
545    293  NormCache          9830           0   35m6.315s
546    294    NoCache           162           0    0m0.758s
547    294  NormCache           162           0    0m0.931s
548    295    NoCache          2477           0   0m10.641s
549    295  NormCache          2477           0   0m13.184s
550    296    NoCache            42           0    0m0.454s
551    296  NormCache            42           0    0m0.794s
552    297    NoCache           129           0    0m0.733s
553    297  NormCache           129           0    0m0.762s
554    300    NoCache           406           0    0m1.327s
555    300  NormCache           406           0    0m1.230s
556    301    NoCache             2           0    0m0.357s
557    301  NormCache             2           0    0m0.354s
558    303    NoCache             7           0    0m0.377s
559    303  NormCache             7           0    0m0.358s
560    304    NoCache          2978           0    0m7.270s
561    304  NormCache          2978           0    0m4.899s
562    305    NoCache          8422           0   1m17.316s
563    305  NormCache          8422           0    2m0.729s
564    306    NoCache           386           0    0m6.009s
565    306  NormCache           386           0    0m6.216s
566    307    NoCache             2           0    0m0.373s
567    307  NormCache             2           0    0m0.432s
568    308    NoCache            16           0    0m0.449s
569    308  NormCache            16           0    0m0.416s
570    309    NoCache           140           0    0m0.801s
